Advanced Reads Report

Report time                      ,3/17/2024 5:49:28 AM                                                               ,
Method                           ,C:\Users\daq.SHIP\Desktop\SPEC Data\Ammonium.MAB                                   ,
Batch name                       ,C:\Users\daq.SHIP\Desktop\SPEC                                                     ,
                                 ,Data\402\Ammonium\Raw Data\1617A ammonium.BAB                                      ,
Application                      ,Advanced Reads 4.20(468)                                                           ,
Operator                         ,                                                                                   ,

Instrument Settings
Instrument                       ,Cary 300                                                                           ,
Instrument version no.           ,12.00                                                                              ,
Wavelength (nm)                  ,640.00                                                                             ,
Ordinate Mode                    ,Abs                                                                                ,
SBW (nm)                         ,1.5                                                                                ,
Ave Time (sec)                   ,3.000                                                                              ,
Beam mode                        ,Double auto select                                                                 ,
Beam interchange                 ,Normal                                                                             ,
Replicates                       ,1                                                                                  ,
Sample averaging                 ,OFF                                                                                ,
RSA fill time(sec)               ,30                                                                                 ,
RSA delay time(sec)              ,8                                                                                  ,
RSA auto return                  ,OFF                                                                                ,

Comments:

Analysis
Collection time                  ,3/17/2024 3:56:26 AM                                                               ,
ReCalculation Time               ,3/17/2024 5:49:28 AM                                                               ,

       Sample        , F  ,Readings ,
_____________________________________
0                    ,    ,  0.0228 ,
50                   ,    ,  0.0212 ,
100                  ,    ,  0.0318 ,
200                  ,    ,  0.0546 ,
400                  ,    ,  0.1024 ,
600                  ,    ,  0.1438 ,
800                  ,    ,  0.1878 ,
1000                 ,    ,  0.2333 ,
2000                 ,    ,  0.3694 ,
3000                 ,    ,  0.4638 ,
LIQ13096031          ,    ,  0.0176 ,
LIQ13095751          ,    ,  0.0104 ,
LIQ13096591          ,    ,  0.0441 ,
LIQ13097031          ,    ,  0.0657 ,
LIQ13097471          ,    ,  0.0854 ,
LIQ13097921          ,    ,  0.0924 ,
LIQ13098361          ,    ,  0.0927 ,
LIQ13099011          ,    ,  0.0942 ,
LIQ13100071          ,    ,  0.0764 ,
LIQ13101281          ,    ,  0.0991 ,
LIQ13102071          ,    ,  0.1009 ,
LIQ13102451          ,    ,  0.1104 ,
LIQ13103471          ,    ,  0.1075 ,
LIQ13104641          ,    ,  0.1093 ,
LIQ13106021          ,    ,  0.1056 ,
LIQ13106611          ,    ,  0.0947 ,
800                  ,    ,  0.1914 ,
LIQ13107251          ,    ,  0.1092 ,
LIQ13107731          ,    ,  0.1163 ,
LIQ13108471          ,    ,  0.1165 ,
LIQ13109211          ,    ,  0.1127 ,
LIQ13109571          ,    ,  0.1035 ,
LIQ13110221          ,    ,  0.1156 ,
LIQ13110581          ,    ,  0.1122 ,
LIQ13111551          ,    ,  0.1172 ,
800                  ,    ,  0.1935 ,
LIQ13112891          ,    ,  0.1043 ,
LIQ13112351          ,    ,  0.1134 ,
LIQ13113771          ,    ,  0.0964 ,
LIQ13114531          ,    ,  0.1033 ,
LIQ13115471          ,    ,  0.0987 ,
LIQ13116951          ,    ,  0.1004 ,
LIQ13117101          ,    ,  0.2578 ,
LIQ13117931          ,    ,  0.1058 ,
LIQ13119031          ,    ,  0.1215 ,
LIQ13119961          ,    ,  0.0910 ,
800                  ,    ,  0.1901 ,

Results Flags Legend
R = Repeat reading             ,                                                                                 ,


