Advanced Reads Report

Report time                      ,3/17/2024 12:16:17 AM                                                              ,
Method                           ,C:\Users\daq.SHIP\Desktop\SPEC Data\Phosphate.MAB                                  ,
Batch name                       ,C:\Users\daq.SHIP\Desktop\SPEC                                                     ,
                                 ,Data\402\Phosphate\Raw Data\U1617A1.BAB                                            ,
Application                      ,Advanced Reads 4.20(468)                                                           ,
Operator                         ,                                                                                   ,

Instrument Settings
Instrument                       ,Cary 300                                                                           ,
Instrument version no.           ,12.00                                                                              ,
Wavelength (nm)                  ,885.00                                                                             ,
Ordinate Mode                    ,Abs                                                                                ,
SBW (nm)                         ,1.5                                                                                ,
Ave Time (sec)                   ,3.000                                                                              ,
Beam mode                        ,Double auto select                                                                 ,
Beam interchange                 ,Normal                                                                             ,
Replicates                       ,1                                                                                  ,
Sample averaging                 ,OFF                                                                                ,
RSA fill time(sec)               ,30                                                                                 ,
RSA delay time(sec)              ,8                                                                                  ,
RSA auto return                  ,OFF                                                                                ,

Comments:

Analysis
Collection time                  ,3/16/2024 10:43:51 PM                                                              ,
ReCalculation Time               ,3/17/2024 12:16:17 AM                                                              ,

       Sample        , F  ,Readings ,
_____________________________________
0                    ,    ,  0.0013 ,
5                    ,    ,  0.0071 ,
10                   ,    ,  0.0157 ,
15                   ,    ,  0.0273 ,
20                   ,    ,  0.0448 ,
40                   ,    ,  0.0842 ,
60                   ,    ,  0.1319 ,
80                   ,    ,  0.1455 ,
100                  ,    ,  0.2141 ,
200                  ,    ,  0.2752 ,
300                  ,    ,  0.3209 ,
LIQ13096031          ,    ,  0.0035 ,
LIQ13095751          ,    ,  0.0050 ,
LIQ13096591          ,    ,  0.0014 ,
LIQ13097031          ,    ,  0.0012 ,
LIQ13097471          ,    , -0.0001 ,
LIQ13097921          ,    ,  0.0011 ,
LIQ13098361          ,    ,  0.0004 ,
LIQ13099011          ,    , -0.0011 ,
LIQ13100071          ,    ,  0.0006 ,
LIQ13101281          ,    , -0.0001 ,
60                   ,    ,  0.1193 ,
LIQ13102071          ,    ,  0.0030 ,
LIQ13102451          ,    , -0.0003 ,
LIQ13103471          ,    ,  0.0014 ,
LIQ13104641          ,    , -0.0005 ,
LIQ13106021          ,    ,  0.0012 ,
LIQ13106611          ,    ,  0.0011 ,
LIQ13107251          ,    ,  0.0015 ,
LIQ13107731          ,    ,  0.0009 ,
LIQ13108471          ,    ,  0.0012 ,
LIQ13109211          ,    , -0.0010 ,
LIQ13109571          ,    ,  0.0003 ,
LIQ13110221          ,    ,  0.0008 ,
LIQ13110581          ,    ,  0.0007 ,
60                   ,    ,  0.1196 ,
LIQ13111551          ,    ,  0.0027 ,
LIQ13112351          ,    ,  0.0021 ,
LIQ13112891          ,    ,  0.0018 ,
LIQ13113771          ,    ,  0.0000 ,
LIQ13114531          ,    ,  0.0006 ,
LIQ13115471          ,    , -0.0003 ,
LIQ13116951          ,    , -0.0002 ,
LIQ13117101          ,    ,  0.0004 ,
LIQ13117931          ,    , -0.0006 ,
LIQ13119031          ,    ,  0.0012 ,
LIQ13119961          ,    ,  0.0007 ,
60                   ,    ,  0.1150 ,

Results Flags Legend
R = Repeat reading             ,                                                                                 ,


