Sample Name,Volume (cm^3),Mass (g),Field (A/m),Frequency (Hz),Azimuth (deg),Dip (deg),K11 (Spec),K22 (Spec),K33 (Spec),K12 (Spec),K23 (Spec),K13 (Spec),Holder Value,Bulk Susceptibility,Standard deviation,K1,K2,K3,K1 DEC (Spec),K1 INC (Spec),K2 DEC (Spec),K2 INC (Spec),K3 DEC (Spec),K3 INC (Spec),K1 DEC (Geo),K1 INC (Geo),K2 DEC (Geo),K2 INC (Geo),K3 DEC (Geo),K3 INC (Geo),L,F,P,P',P1,P2,P3,P4,Demag Factor,Holder,Date,Comments,
CUBE12646071, 7.00,, 200, 976,, 90, 0.321394, 0.339282, 0.339324,-0.000898, 0.000191,-0.000313,-4.272E-06, 1.115E-03, 3.548E-04, 1.018605, 1.017364, 0.964031, 93.8, 45.2, 271.9, 44.8, 2.9, 1.0, 44.8, 2.7, 134.8, 1.3, 251.3, 87.0, 1.0012, 1.0553, 1.0566, 1.0649, 12,0, 12,0,YES,3D,8/29/2023 6:55:13 PM,,
CUBE12646091, 7.00,, 200, 976,, 90, 0.325019, 0.337340, 0.337641,-0.000784,-0.000023,-0.000998,-4.272E-06, 1.289E-03, 1.489E-04, 1.013172, 1.012155, 0.974673, 126.4, 81.8, 273.1, 6.9, 3.6, 4.5, 6.6, 4.9, 96.9, 3.0, 218.8, 84.3, 1.0010, 1.0385, 1.0395, 1.0452, 12,0, 12,0,YES,3D,8/29/2023 6:58:28 PM,,
CUBE12646111, 7.00,, 200, 976,, 90, 0.319573, 0.341117, 0.339310,-0.001354, 0.000821,-0.001090,-4.272E-06, 1.581E-03, 1.440E-04, 1.024679, 1.017019, 0.958302, 94.7, 22.0, 266.1, 67.8, 3.5, 3.0, 68.0, 4.3, 337.9, 1.5, 229.1, 85.4, 1.0075, 1.0613, 1.0693, 1.0761, 12,0, 12,0,YES,3D,8/29/2023 7:00:38 PM,,
CUBE12646131, 7.00,, 200, 976,, 90, 0.311904, 0.344651, 0.343446,-0.001605,-0.000428, 0.002346,-4.272E-06, 1.446E-03, 1.897E-04, 1.034846, 1.030188, 0.934966, 274.4, 22.0, 82.6, 67.5, 182.7, 4.2, 112.1, 4.1, 202.3, 2.8, 326.9, 85.0, 1.0045, 1.1018, 1.1068, 1.1215, 12,0, 12,0,YES,3D,8/29/2023 7:02:18 PM,,
CUBE12646631, 7.00,, 200, 976,, 90, 0.321237, 0.340157, 0.338607,-0.000922,-0.000104,-0.001441,-4.272E-06, 1.413E-03, 1.658E-04, 1.020608, 1.016175, 0.963218, 272.7, 1.3, 167.2, 85.1, 2.8, 4.7, 91.3, 2.7, 1.1, 4.8, 210.6, 84.5, 1.0044, 1.0550, 1.0596, 1.0666, 12,0, 12,0,YES,3D,8/29/2023 7:03:57 PM,,
CUBE12646651, 7.00,, 200, 976,, 90, 0.331440, 0.334086, 0.334474,-0.000996, 0.000003,-0.001584,-4.272E-06, 1.590E-03, 1.330E-04, 1.005902, 1.002519, 0.991579, 140.5, 56.0, 275.1, 25.3, 15.6, 21.1, 23.2, 25.6, 115.4, 4.6, 214.9, 63.9, 1.0034, 1.0110, 1.0144, 1.0151, 12,0, 12,0,YES,3D,8/29/2023 7:06:09 PM,,
CUBE12646671, 7.00,, 200, 976,, 90, 0.331635, 0.334386, 0.333979,-0.000690, 0.000232,-0.001517,-4.272E-06, 1.471E-03, 1.096E-04, 1.005351, 1.002209, 0.992440, 124.4, 42.6, 258.8, 37.2, 9.2, 24.8, 41.9, 24.5, 307.7, 8.9, 199.2, 63.7, 1.0031, 1.0098, 1.0130, 1.0136, 12,0, 12,0,YES,3D,8/29/2023 7:08:08 PM,,
CUBE12646761, 7.00,, 200, 976,, 90, 0.316219, 0.344128, 0.339653,-0.003401, 0.000924,-0.008515,-4.272E-06, 1.966E-03, 1.472E-04, 1.036734, 1.023757, 0.939509, 105.4, 28.1, 247.7, 56.0, 5.7, 17.6, 61.1, 13.6, 328.1, 12.2, 197.5, 71.6, 1.0127, 1.0897, 1.1035, 1.1131, 12,0, 12,0,YES,3D,8/29/2023 7:10:13 PM,,
CUBE12646781, 7.00,, 200, 976,, 90, 0.332429, 0.334392, 0.333179,-0.000547, 0.000227,-0.000988,-4.272E-06, 1.528E-03, 1.057E-04, 1.004148, 1.000730, 0.995122, 112.8, 21.1, 229.6, 49.6, 8.5, 32.7, 67.3, 21.2, 327.0, 24.8, 192.9, 56.4, 1.0034, 1.0056, 1.0091, 1.0092, 12,0, 12,0,YES,3D,8/29/2023 7:12:19 PM,,
CUBE12646801, 7.00,, 200, 976,, 90, 0.325897, 0.337344, 0.336758,-0.000711, 0.000758,-0.000903,-4.272E-06, 1.452E-03, 1.271E-04, 1.013893, 1.008748, 0.977359, 96.4, 35.3, 267.0, 54.3, 3.2, 4.5, 54.5, 5.2, 324.4, 1.8, 215.7, 84.5, 1.0051, 1.0321, 1.0374, 1.0406, 12,0, 12,0,YES,3D,8/29/2023 7:14:13 PM,,
