* Time       : 1693611231											
* Hole ID    : 1603E01											
* Serial No  : MI5-2043											
* Declination: 0.000											
* Client     : IODP											
* Site       : X400											
* Date       : 23/8/23 19:42											
* Operator   : Roth											
* Comment    : 											
* Collar East: 0.00											
* Collar Nor.: 0.00											
* Collar Elv.: 0.00											
* Flags      : yyny											
* Planned Dip: 0.0											
* Planned Az.: 0.0											
HoleID  	 Time    	    Depth	     Dip	   Azim.	   Temp	  Tool-M	  MagnMag	 DipMag	   Mag-X 	   Mag-Y 	  Accel
1.60E+04	 2:34:50 AM	-1	-52.8	51.7	20	17.9	39666.7	-63	-499	-18846.3	0.9219
1.60E+04	 2:35:10 AM	0	0.7	19.3	20	0	31191.6	-62.1	-19356.6	-20420.5	1
1.60E+04	 4:41:40 AM	1	-89.8	314.2	2.2	147.9	91632.1	-86.3	-4683.9	-3234.5	0.9994
1.60E+04	 4:42:00 AM	2	-89.7	337.4	2.2	147.8	91775.9	-86.2	-4717.2	-3158.4	0.9983
1.60E+04	 4:42:20 AM	3	-89.8	352.3	2.2	145.1	91773.5	-86.3	-4637.1	-3288.8	0.9996
1.60E+04	 4:42:40 AM	4	-89.8	5.2	2.2	144.6	91774.3	-86.3	-4622	-3249.3	0.9999
1.60E+04	 4:43:00 AM	5	-89.7	320.2	2.2	147.5	91766.2	-86.2	-4695	-3329.3	0.9997
1.60E+04	 4:43:20 AM	6	-89.8	6.7	1.9	146.4	91768.3	-86.2	-4762.1	-3121.8	0.9999
1.60E+04	 4:43:40 AM	7	-89.8	5	1.9	145.6	91774	-86.2	-4677.3	-3160.3	0.9995
1.60E+04	 5:38:30 AM	8	-88.3	52.1	0.3	335.9	91935.6	-85.8	5514.3	134.4	0.9999
1.60E+04	 5:38:50 AM	9	-88.3	51.3	0.6	335.6	91940.6	-85.8	5498.6	204.2	0.9998
1.60E+04	 5:39:10 AM	10	-88.4	48.5	0.3	337.1	91940	-85.7	5489.9	196.1	0.9998
1.60E+04	 5:39:30 AM	11	-88.3	48.3	0.3	336.7	91937.6	-85.7	5495.9	210.1	0.9998
1.60E+04	 5:39:50 AM	12	-88.2	43.4	0.3	337	91938.6	-85.5	5468.8	145.3	0.9997
1.60E+04	 5:40:10 AM	13	-88.2	44.2	0.3	336.5	91936.6	-85.5	5481.1	187.8	0.9997
1.60E+04	 5:40:30 AM	14	-87.8	43.9	0.3	332.7	91937.8	-85.4	5503.2	152.2	0.9999
1.60E+04	 6:25:30 AM	15	-89.4	225.8	0.6	45.5	94086.8	-86.5	5094.5	-4095.2	0.9996
1.60E+04	 6:25:50 AM	16	-89.4	225.7	0.3	45.6	94110.7	-86.4	5055.9	-4161.9	1
1.60E+04	 6:26:10 AM	17	-89.3	232.7	0.3	48.4	94070.4	-86.5	4963.5	-4218.4	0.9995
1.60E+04	 6:26:30 AM	18	-89.5	231.5	0.3	46.6	94119.7	-86.4	4891.3	-4245.5	0.9998
1.60E+04	 6:26:50 AM	19	-89.4	222.8	0.3	46.7	94083.4	-86.5	4885	-4283.3	0.9996
1.60E+04	 6:27:10 AM	20	-89.3	225.9	0.3	46.9	94068.2	-86.5	5007.2	-4180.3	0.9997
1.60E+04	 6:27:30 AM	21	-89.5	221.9	0.3	46.9	94081.2	-86.4	4809.9	-4325.6	0.9997
1.60E+04	 7:16:40 AM	22	-89.3	292.7	0	271.5	88325.7	-85.7	-775.1	6313.6	0.9998
1.60E+04	 7:17:00 AM	23	-89.4	293.1	0	270.9	88354.4	-85.7	-789.6	6309.1	0.9997
1.60E+04	 7:17:20 AM	24	-89.3	294.6	0	271.4	88449.2	-85.7	-778.8	6301.7	0.9999
1.60E+04	 7:17:40 AM	25	-89.3	289.8	0	271.6	88420.8	-85.7	-775.6	6309.7	0.9999
1.60E+04	 7:18:00 AM	26	-89.3	291.8	0	272	88282.1	-85.7	-712.1	6315.5	0.9993
1.60E+04	 7:18:20 AM	27	-89.3	296	-0.3	272.2	88301	-85.6	-720.3	6336.3	0.9996
1.60E+04	 7:18:40 AM	28	-89.3	291.9	0	270.2	88341.3	-85.7	-917.9	6315.1	0.9998
1.60E+04	 8:10:20 AM	29	-88.9	302.5	0.3	76.6	90773.3	-86.1	2589.6	-4761.8	0.9989
1.60E+04	 8:10:40 AM	30	-88.8	300.1	0.3	77.2	90775.2	-86.1	2730.6	-4711.2	0.9993
1.60E+04	 8:11:00 AM	31	-88.4	289.2	0.3	84.2	90777.4	-86.4	2859.9	-4671.6	0.9999
1.60E+04	 8:11:20 AM	32	-88.9	301.2	0.3	70.3	90777.8	-86.1	3250	-4452.2	0.9998
1.60E+04	 8:11:40 AM	33	-88.8	297.6	0.3	73.9	90781.4	-86.1	3100	-4522.3	0.9999
1.60E+04	 8:12:00 AM	34	-88.9	297.9	0.3	74.3	90773.9	-86.2	2921	-4617.1	0.9999
1.60E+04	 8:12:20 AM	35	-88.9	298.5	0.3	76	90775	-86.2	2771.2	-4681.6	0.9999
1.60E+04	 6:24:10 PM	36	-88.8	244.2	2.8	307.5	92909.4	-86.1	2977.2	6657.9	0.9998
1.60E+04	 6:24:30 PM	37	-88.9	242.5	2.5	306.9	92903	-86.1	2962.9	6655.6	0.9999
1.60E+04	 6:24:50 PM	38	-88.9	251.9	2.5	307.5	92914.5	-86	2940.2	6665.6	0.9995
1.60E+04	 6:25:10 PM	39	-88.9	240.5	2.5	306.1	92913.9	-86.1	2948.5	6653.7	0.9994
