Sample Id,Treatment,Treatment Value,X Moment,Y Moment,Z moment,Azimuth,Dip,Intensity,Declination Specimen,Inclination Specimen,Declination Geographic,Inclination Geographic,Foliation Plane- Azimuth of Dip,Foliation Plane- Dip,Lineation Trend,Lineation Plunge,Orientation Parameter P1,Orientation Parameter P2,Orientation Parameter P3,Orientation Parameter P4,Precision %, Precision(Degree),Date
CUBE13016931,NRM,0,-4.45E-06,-1.08E-02, 7.69E-03,0,90,0.013295,270.0,35.4,305.4,0.0,0,0,0,0,12,0,12,0,2.6,-0.2,2/16/2024 
CUBE13016941,NRM,0, 1.62E-02,-9.29E-03,-1.07E-02,0,90,0.021532,330.2,-29.7,221.1,-49.0,0,0,0,0,12,0,12,0,2.2,3.0,2/16/2024 
CUBE13017301,NRM,0,-1.99E-02, 2.31E-03, 6.38E-04,0,90,0.020081,173.4,1.8,74.6,83.2,0,0,0,0,12,0,12,0,1.7,3.2,2/16/2024 
CUBE13017801,NRM,0, 2.22E-02,-9.27E-03,-4.94E-04,0,90,0.024019,337.3,-1.2,267.0,-67.3,0,0,0,0,12,0,12,0,0.8,0.5,2/16/2024 
CUBE13016931,AD,5,-2.07E-02,-6.36E-03, 6.83E-04,0,90,0.021656,197.1,1.8,276.1,72.8,0,0,0,0,12,0,12,0,2.4,4.3,2/16/2024 
CUBE13016941,AD,5,-1.89E-02, 1.94E-04,-5.94E-03,0,90,0.019791,179.4,-17.5,178.1,72.5,0,0,0,0,12,0,12,0,2.0,1.9,2/16/2024 
CUBE13017301,AD,5,-1.37E-02, 4.00E-03, 5.82E-04,0,90,0.014289,163.7,2.3,81.7,73.6,0,0,0,0,12,0,12,0,2.0,3.5,2/16/2024 
CUBE13017801,AD,5,-2.86E-03,-1.72E-02,-4.87E-03,0,90,0.018086,260.5,-15.6,254.2,9.1,0,0,0,0,12,0,12,0,1.3,2.5,2/16/2024 
CUBE13016931,AD,10,-1.69E-02,-8.69E-03, 7.59E-04,0,90,0.018991,207.3,2.3,275.0,62.6,0,0,0,0,12,0,12,0,2.3,4.3,2/16/2024 
CUBE13016941,AD,10,-1.55E-02,-5.10E-03,-5.08E-03,0,90,0.017112,198.2,-17.3,225.1,65.1,0,0,0,0,12,0,12,0,2.9,4.0,2/16/2024 
CUBE13017301,AD,10,-1.16E-02,-5.34E-05, 5.55E-04,0,90,0.011643,180.3,2.7,354.5,87.3,0,0,0,0,12,0,12,0,2.2,2.8,2/16/2024 
CUBE13017801,AD,10,-2.02E-03,-1.47E-02,-3.04E-03,0,90,0.015121,262.2,-11.6,258.3,7.7,0,0,0,0,12,0,12,0,1.8,2.8,2/16/2024 
CUBE13016931,AD,15,-1.42E-02,-7.48E-03, 5.63E-04,0,90,0.016076,207.7,2.0,274.3,62.2,0,0,0,0,12,0,12,0,2.4,4.4,2/16/2024 
CUBE13016941,AD,15,-1.29E-02,-3.28E-03,-4.22E-03,0,90,0.013928,194.3,-17.6,217.9,67.4,0,0,0,0,12,0,12,0,2.5,3.1,2/16/2024 
CUBE13017301,AD,15,-8.34E-03,-2.11E-05, 4.74E-04,0,90,0.008354,180.1,3.3,357.4,86.7,0,0,0,0,12,0,12,0,2.5,3.4,2/16/2024 
CUBE13017801,AD,15,-4.44E-03,-1.09E-02,-2.40E-03,0,90,0.012039,247.9,-11.5,257.6,21.6,0,0,0,0,12,0,12,0,1.7,2.3,2/16/2024 
CUBE13016931,AD,20,-1.32E-02,-3.87E-03, 5.48E-04,0,90,0.013761,196.4,2.3,278.1,73.5,0,0,0,0,12,0,12,0,2.1,3.5,2/16/2024 
CUBE13016941,AD,20,-2.84E-05,-1.63E-03, 1.17E-03,0,90,0.002008,269.0,35.7,305.7,0.8,0,0,0,0,12,0,12,0,2.1,-0.3,2/16/2024 
CUBE13017301,AD,20,-6.85E-03, 8.17E-04, 3.68E-04,0,90,0.006911,173.2,3.0,65.8,82.6,0,0,0,0,12,0,12,0,1.9,1.1,2/16/2024 
CUBE13017801,AD,20,-2.07E-03,-9.35E-03,-1.67E-03,0,90,0.009717,257.5,-9.9,259.9,12.3,0,0,0,0,12,0,12,0,1.8,2.5,2/16/2024 
CUBE13016941,AD,20,-1.04E-02,-4.81E-03,-3.40E-03,0,90,0.011950,204.8,-16.5,234.7,60.4,0,0,0,0,12,0,12,0,3.4,5.9,2/16/2024 
CUBE13016931,AD,25, 8.01E-03,-8.42E-03,-3.22E-03,0,90,0.012061,313.6,-15.5,249.1,-41.6,0,0,0,0,12,0,12,0,2.8,5.3,2/16/2024 
CUBE13016941,AD,25,-1.06E-02,-1.08E-03,-2.22E-03,0,90,0.010895,185.8,-11.7,206.0,76.9,0,0,0,0,12,0,12,0,2.4,3.2,2/16/2024 
CUBE13016931,AD,25,-9.96E-03,-6.06E-03, 1.06E-03,0,90,0.011704,211.3,5.2,279.9,58.3,0,0,0,0,12,0,12,0,2.4,4.7,2/16/2024 
