######################################################################
#
# LoggerIdentifier    : 1858035C
# Comment             : 
# PC Time             : 15 September 2021 , 12:40:58
# Logger Time         : 15 September 2021 , 12:40:58
# StartBatteryVoltage :      2970 mV
# EndBatteryVoltage   :      2902 mV
# TotalSampleCount    :    456793
# ResistanceOffset    :     11905.14456
# ResistanceScale     :     90939.70156
# TemperatureOffset   :         0.0009057505
# TemperatureLinear   :         0.0002256978
# TemperatureCubic    :         0.0000001097
#
######################################################################
yyyy mm dd HH MM SS      Raw     Res[Ohm]   Temp[degC]
2021 09 15 10 47 01    24866    35460.891       21.288
2021 09 15 10 47 02    24867    35462.232       21.288
2021 09 15 10 47 03    24866    35460.891       21.288
2021 09 15 10 47 04    24866    35460.891       21.288
2021 09 15 10 47 05    24866    35460.891       21.288
2021 09 15 10 47 06    24866    35460.891       21.288
2021 09 15 10 47 07    24866    35460.891       21.288
2021 09 15 10 47 08    24866    35460.891       21.288
2021 09 15 10 47 09    24866    35460.891       21.288
2021 09 15 10 47 10    24865    35459.551       21.289
2021 09 15 10 47 11    24866    35460.891       21.288
2021 09 15 10 47 12    24866    35460.891       21.288
2021 09 15 10 47 13    24865    35459.551       21.289
2021 09 15 10 47 14    24865    35459.551       21.289
2021 09 15 10 47 15    24866    35460.891       21.288
2021 09 15 10 47 16    24866    35460.891       21.288
2021 09 15 10 47 17    24865    35459.551       21.289
2021 09 15 10 47 18    24865    35459.551       21.289
2021 09 15 10 47 19    24866    35460.891       21.288
2021 09 15 10 47 20    24865    35459.551       21.289
2021 09 15 10 47 21    24866    35460.891       21.288
2021 09 15 10 47 22    24866    35460.891       21.288
2021 09 15 10 47 23    24865    35459.551       21.289
2021 09 15 10 47 24    24866    35460.891       21.288
2021 09 15 10 47 25    24866    35460.891       21.288
2021 09 15 10 47 26    24865    35459.551       21.289
2021 09 15 10 47 27    24865    35459.551       21.289
2021 09 15 10 47 28    24865    35459.551       21.289
2021 09 15 10 47 29    24865    35459.551       21.289
2021 09 15 10 47 30    24866    35460.891       21.288
2021 09 15 10 47 31    24866    35460.891       21.288
2021 09 15 10 47 32    24866    35460.891       21.288
2021 09 15 10 47 33    24865    35459.551       21.289
2021 09 15 10 47 34    24865    35459.551       21.289
2021 09 15 10 47 35    24865    35459.551       21.289
2021 09 15 10 47 36    24865    35459.551       21.289
2021 09 15 10 47 37    24865    35459.551       21.289
2021 09 15 10 47 38    24865    35459.551       21.289
2021 09 15 10 47 39    24865    35459.551       21.289
2021 09 15 10 47 40    24865    35459.551       21.289
2021 09 15 10 47 41    24865    35459.551       21.289
2021 09 15 10 47 42    24865    35459.551       21.289
2021 09 15 10 47 43    24847    35435.428       21.305
2021 09 15 10 47 44    24762    35321.642       21.378
2021 09 15 10 47 45    24631    35146.678       21.490
2021 09 15 10 47 46    24510    34985.499       21.595
2021 09 15 10 47 47    24460    34919.017       21.638
2021 09 15 10 47 48    24461    34920.346       21.637
2021 09 15 10 47 49    24475    34938.954       21.625
2021 09 15 10 47 50    24439    34891.116       21.656
2021 09 15 10 47 51    24386    34820.752       21.702
2021 09 15 10 47 52    24378    34810.138       21.709
2021 09 15 10 47 53    24394    34831.368       21.695
2021 09 15 10 47 54    24415    34859.243       21.677
2021 09 15 10 47 55    24435    34885.802       21.660
2021 09 15 10 47 56    24450    34905.729       21.647
2021 09 15 10 47 57    24464    34924.333       21.635
2021 09 15 10 47 58    24466    34926.991       21.633
2021 09 15 10 47 59    24418    34863.226       21.675
2021 09 15 10 48 00    24368    34796.873       21.718
2021 09 15 10 48 01    24353    34776.981       21.731
2021 09 15 10 48 02    24356    34780.959       21.728
2021 09 15 10 48 03    24363    34790.242       21.722
2021 09 15 10 48 04    24374    34804.832       21.713
2021 09 15 10 48 05    24383    34816.772       21.705
2021 09 15 10 48 06    24393    34830.041       21.696
2021 09 15 10 48 07    24401    34840.658       21.689
2021 09 15 10 48 08    24410    34852.605       21.682
2021 09 15 10 48 09    24417    34861.899       21.675
2021 09 15 10 48 10    24424    34871.193       21.669
2021 09 15 10 48 11    24431    34880.490       21.663
2021 09 15 10 48 12    24437    34888.459       21.658
2021 09 15 10 48 13    24442    34895.101       21.654
2021 09 15 10 48 14    24448    34903.072       21.649
2021 09 15 10 48 15    24454    34911.044       21.643
2021 09 15 10 48 16    24460    34919.017       21.638
2021 09 15 10 48 17    24464    34924.333       21.635
2021 09 15 10 48 18    24470    34932.308       21.630
2021 09 15 10 48 19    24474    34937.625       21.626
2021 09 15 10 48 20    24478    34942.943       21.623
2021 09 15 10 48 21    24483    34949.590       21.618
2021 09 15 10 48 22    24487    34954.909       21.615
2021 09 15 10 48 23    24490    34958.898       21.612
2021 09 15 10 48 24    24495    34965.547       21.608
2021 09 15 10 48 25    24499    34970.867       21.604
2021 09 15 10 48 26    24502    34974.858       21.602
2021 09 15 10 48 27    24506    34980.178       21.598
2021 09 15 10 48 28    24509    34984.169       21.596
2021 09 15 10 48 29    24513    34989.491       21.592
2021 09 15 10 48 30    24516    34993.482       21.590
2021 09 15 10 48 31    24520    34998.804       21.586
2021 09 15 10 48 32    24523    35002.796       21.584
2021 09 15 10 48 33    24525    35005.458       21.582
2021 09 15 10 48 34    24529    35010.781       21.579
2021 09 15 10 48 35    24531    35013.443       21.577
2021 09 15 10 48 36    24535    35018.767       21.573
2021 09 15 10 48 37    24538    35022.760       21.571
2021 09 15 10 48 38    24541    35026.754       21.568
2021 09 15 10 48 39    24544    35030.748       21.566
2021 09 15 10 48 40    24546    35033.410       21.564
2021 09 15 10 48 41    24549    35037.404       21.561
2021 09 15 10 48 42    24552    35041.399       21.559
2021 09 15 10 48 43    24555    35045.394       21.556
2021 09 15 10 48 44    24558    35049.389       21.553
2021 09 15 10 48 45    24560    35052.052       21.552
2021 09 15 10 48 46    24562    35054.716       21.550
2021 09 15 10 48 47    24565    35058.711       21.547
2021 09 15 10 48 48    24567    35061.375       21.546
2021 09 15 10 48 49    24569    35064.039       21.544
2021 09 15 10 48 50    24571    35066.703       21.542
2021 09 15 10 48 51    24574    35070.699       21.540
2021 09 15 10 48 52    24576    35073.364       21.538
2021 09 15 10 48 53    24578    35076.028       21.536
