type,label_id,text_id,offset(cm),susceptibility,drift corrected,raw_meter,timestamp,time since zero (sec)
DRIFT #1 ZERO, , , ,-0.048692,,17659416.467257,2023-08-24 14:48:22,0.000
sample,400-U1603A-1H-1,SECT12641451,4.0,134.802716,n/a,17661455.603540,2023-08-24 14:49:38,76.691
sample,400-U1603A-1H-1,SECT12641451,6.0,110.140417,n/a,17661082.676106,2023-08-24 14:49:43,81.266
sample,400-U1603A-1H-1,SECT12641451,8.0,104.370461,n/a,17660995.426549,2023-08-24 14:49:47,85.863
sample,400-U1603A-1H-1,SECT12641451,10.0,75.228534,n/a,17660554.761062,2023-08-24 14:49:52,90.457
sample,400-U1603A-1H-1,SECT12641451,12.0,85.234659,n/a,17660706.067257,2023-08-24 14:49:57,95.031
sample,400-U1603A-1H-1,SECT12641451,14.0,117.955420,n/a,17661200.849558,2023-08-24 14:50:01,99.599
sample,400-U1603A-1H-1,SECT12641451,16.0,98.746581,n/a,17660910.385841,2023-08-24 14:50:06,104.191
sample,400-U1603A-1H-1,SECT12641451,18.0,89.957745,n/a,17660777.486726,2023-08-24 14:50:10,108.801
sample,400-U1603A-1H-1,SECT12641451,20.0,107.486724,n/a,17661042.548673,2023-08-24 14:50:15,113.372
sample,400-U1603A-1H-1,SECT12641451,22.0,124.285329,n/a,17661296.566372,2023-08-24 14:50:20,117.964
sample,400-U1603A-1H-1,SECT12641451,24.0,114.206166,n/a,17661144.155752,2023-08-24 14:50:24,122.560
sample,400-U1603A-1H-1,SECT12641451,26.0,87.815315,n/a,17660745.090265,2023-08-24 14:50:29,127.134
sample,400-U1603A-1H-1,SECT12641451,28.0,72.696570,n/a,17660516.474336,2023-08-24 14:50:33,131.687
sample,400-U1603A-1H-1,SECT12641451,30.0,69.385541,n/a,17660466.407080,2023-08-24 14:50:38,136.256
sample,400-U1603A-1H-1,SECT12641451,32.0,69.628999,n/a,17660470.088496,2023-08-24 14:50:42,140.823
sample,400-U1603A-1H-1,SECT12641451,34.0,69.945495,n/a,17660474.874336,2023-08-24 14:50:49,147.521
sample,400-U1603A-1H-1,SECT12641451,36.0,68.679513,n/a,17660455.730973,2023-08-24 14:50:54,152.555
sample,400-U1603A-1H-1,SECT12641451,38.0,70.164607,n/a,17660478.187611,2023-08-24 14:50:59,157.597
sample,400-U1603A-1H-1,SECT12641451,40.0,77.468348,n/a,17660588.630088,2023-08-24 14:51:04,162.679
sample,400-U1603A-1H-1,SECT12641451,42.0,95.070364,n/a,17660854.796460,2023-08-24 14:51:09,167.732
sample,400-U1603A-1H-1,SECT12641451,44.0,101.862843,n/a,17660957.507965,2023-08-24 14:51:14,172.827
sample,400-U1603A-1H-1,SECT12641451,46.0,94.118115,n/a,17660840.397163,2023-08-24 14:51:20,177.943
sample,400-U1603A-1H-1,SECT12641451,48.0,93.585270,n/a,17660832.339823,2023-08-24 14:51:25,182.982
sample,400-U1603A-1H-1,SECT12641451,50.0,99.647375,n/a,17660924.007080,2023-08-24 14:51:30,188.012
sample,400-U1603A-1H-1,SECT12641451,52.0,110.140417,n/a,17661082.676106,2023-08-24 14:51:35,193.134
sample,400-U1603A-1H-1,SECT12641451,54.0,121.485561,n/a,17661254.230088,2023-08-24 14:51:40,198.204
