type,label_id,text_id,offset(cm),susceptibility,drift corrected,raw_meter,timestamp,time since zero (sec)
DRIFT #1 ZERO, , , ,0.025396,,20284179.447154,2024-11-20 21:49:57,0.000
sample,COVERED_STANDARDS_20241120,COVERED_STANDARDS_20241120,2.0,3.053638,n/a,20284225.238289,2024-11-20 22:03:22,804.968
sample,COVERED_STANDARDS_20241120,COVERED_STANDARDS_20241120,4.0,1.428766,n/a,20284200.668024,2024-11-20 22:03:16,798.461
sample,COVERED_STANDARDS_20241120,COVERED_STANDARDS_20241120,6.0,1.842671,n/a,20284206.926829,2024-11-20 22:03:09,791.942
sample,COVERED_STANDARDS_20241120,COVERED_STANDARDS_20241120,8.0,9.587062,n/a,20284324.032520,2024-11-20 22:03:03,785.393
sample,COVERED_STANDARDS_20241120,COVERED_STANDARDS_20241120,10.0,4.342329,n/a,20284244.725051,2024-11-20 22:02:56,778.879
sample,COVERED_STANDARDS_20241120,COVERED_STANDARDS_20241120,12.0,-1.428425,n/a,20284157.463415,2024-11-20 22:02:43,766.074
sample,COVERED_STANDARDS_20241120,COVERED_STANDARDS_20241120,14.0,-14.904223,n/a,20283953.691057,2024-11-20 22:02:30,753.147
sample,COVERED_STANDARDS_20241120,COVERED_STANDARDS_20241120,16.0,-147.145978,n/a,20281954.016260,2024-11-20 22:02:18,740.624
sample,COVERED_STANDARDS_20241120,COVERED_STANDARDS_20241120,18.0,-2867.039079,n/a,20240825.541582,2024-11-20 22:02:05,728.201
sample,COVERED_STANDARDS_20241120,COVERED_STANDARDS_20241120,20.0,-11574.498719,n/a,20109156.935484,2024-11-20 22:01:53,715.875
sample,COVERED_STANDARDS_20241120,COVERED_STANDARDS_20241120,22.0,-13309.050350,n/a,20082928.160966,2024-11-20 22:01:41,703.480
sample,COVERED_STANDARDS_20241120,COVERED_STANDARDS_20241120,24.0,-1205.862847,n/a,20265944.780488,2024-11-20 22:01:28,691.162
sample,COVERED_STANDARDS_20241120,COVERED_STANDARDS_20241120,26.0,-76.831388,n/a,20283017.268293,2024-11-20 22:01:16,678.619
sample,COVERED_STANDARDS_20241120,COVERED_STANDARDS_20241120,28.0,-3.497323,n/a,20284126.178862,2024-11-20 22:01:03,666.059
sample,COVERED_STANDARDS_20241120,COVERED_STANDARDS_20241120,30.0,3.725999,n/a,20284235.405295,2024-11-20 22:00:51,653.740
sample,COVERED_STANDARDS_20241120,COVERED_STANDARDS_20241120,32.0,12.158523,n/a,20284362.916497,2024-11-20 22:00:39,641.402
sample,COVERED_STANDARDS_20241120,COVERED_STANDARDS_20241120,34.0,4.230269,n/a,20284243.030550,2024-11-20 22:00:26,628.931
