type,label_id,text_id,offset(cm),susceptibility,drift corrected,raw_meter,timestamp,time since zero (sec)
DRIFT #1 ZERO, , , ,0.167749,,20284173.105691,2024-11-20 21:12:46,0.000
sample,UNCOVERED_STANDARDS_20241120,UNCOVERED_STANDARDS_20241120,2.0,4.669001,n/a,20284241.170732,2024-11-20 21:26:52,845.881
sample,UNCOVERED_STANDARDS_20241120,UNCOVERED_STANDARDS_20241120,4.0,1.705443,n/a,20284196.357724,2024-11-20 21:26:40,833.682
sample,UNCOVERED_STANDARDS_20241120,UNCOVERED_STANDARDS_20241120,6.0,2.124815,n/a,20284202.699187,2024-11-20 21:26:28,821.551
sample,UNCOVERED_STANDARDS_20241120,UNCOVERED_STANDARDS_20241120,8.0,10.763864,n/a,20284333.333333,2024-11-20 21:26:15,809.324
sample,UNCOVERED_STANDARDS_20241120,UNCOVERED_STANDARDS_20241120,10.0,5.144288,n/a,20284248.357724,2024-11-20 21:26:03,796.928
sample,UNCOVERED_STANDARDS_20241120,UNCOVERED_STANDARDS_20241120,12.0,-1.425862,n/a,20284149.008130,2024-11-20 21:25:50,784.250
sample,UNCOVERED_STANDARDS_20241120,UNCOVERED_STANDARDS_20241120,14.0,-15.069409,n/a,20283942.699187,2024-11-20 21:25:25,758.721
sample,UNCOVERED_STANDARDS_20241120,UNCOVERED_STANDARDS_20241120,16.0,-143.704571,n/a,20281997.560976,2024-11-20 21:25:12,746.128
sample,UNCOVERED_STANDARDS_20241120,UNCOVERED_STANDARDS_20241120,18.0,-3284.160979,n/a,20234509.598377,2024-11-20 21:25:00,733.383
sample,UNCOVERED_STANDARDS_20241120,UNCOVERED_STANDARDS_20241120,20.0,-11664.234403,n/a,20107791.516129,2024-11-20 21:24:47,720.717
sample,UNCOVERED_STANDARDS_20241120,UNCOVERED_STANDARDS_20241120,22.0,-13569.287295,n/a,20078984.531187,2024-11-20 21:24:34,708.127
sample,UNCOVERED_STANDARDS_20241120,UNCOVERED_STANDARDS_20241120,24.0,-1058.213623,n/a,20268168.943089,2024-11-20 21:24:22,695.536
sample,UNCOVERED_STANDARDS_20241120,UNCOVERED_STANDARDS_20241120,26.0,-68.916686,n/a,20283128.455285,2024-11-20 21:24:09,682.839
sample,UNCOVERED_STANDARDS_20241120,UNCOVERED_STANDARDS_20241120,28.0,-3.354971,n/a,20284119.837398,2024-11-20 21:23:57,670.432
sample,UNCOVERED_STANDARDS_20241120,UNCOVERED_STANDARDS_20241120,30.0,3.690468,n/a,20284226.373984,2024-11-20 21:23:44,657.694
sample,UNCOVERED_STANDARDS_20241120,UNCOVERED_STANDARDS_20241120,32.0,14.090876,n/a,20284383.642276,2024-11-20 21:23:31,644.817
sample,UNCOVERED_STANDARDS_20241120,UNCOVERED_STANDARDS_20241120,34.0,4.613084,n/a,20284240.325203,2024-11-20 21:23:18,632.220
