sample_id,text_id,timestamp,offset(cm),uncorr height(mm),orientation,x-sect area (mm^2),benchmark offset(cm)
COVERED-STANDARDS-20241120, COVERED-STANDARDS-20241120, 24-11-20 21:50:343 UTC,    0.00,  38.878, Y-Z plane,  42.906, 2524.309, 5.700000
COVERED-STANDARDS-20241120, COVERED-STANDARDS-20241120, 24-11-20 21:50:343 UTC,    0.01,  38.903, Y-Z plane,  42.881, 2522.527, 5.700000
COVERED-STANDARDS-20241120, COVERED-STANDARDS-20241120, 24-11-20 21:50:343 UTC,    0.02,  38.929, Y-Z plane,  42.856, 2520.730, 5.700000
COVERED-STANDARDS-20241120, COVERED-STANDARDS-20241120, 24-11-20 21:50:343 UTC,    0.03,  38.954, Y-Z plane,  42.832, 2519.091, 5.700000
COVERED-STANDARDS-20241120, COVERED-STANDARDS-20241120, 24-11-20 21:50:343 UTC,    0.04,  38.980, Y-Z plane,  42.806, 2517.265, 5.700000
COVERED-STANDARDS-20241120, COVERED-STANDARDS-20241120, 24-11-20 21:50:343 UTC,    0.05,  39.006, Y-Z plane,  42.780, 2515.425, 5.700000
COVERED-STANDARDS-20241120, COVERED-STANDARDS-20241120, 24-11-20 21:50:343 UTC,    0.06,  39.033, Y-Z plane,  42.754, 2513.570, 5.700000
COVERED-STANDARDS-20241120, COVERED-STANDARDS-20241120, 24-11-20 21:50:343 UTC,    0.07,  39.059, Y-Z plane,  42.728, 2511.755, 5.700000
COVERED-STANDARDS-20241120, COVERED-STANDARDS-20241120, 24-11-20 21:50:343 UTC,    0.08,  39.086, Y-Z plane,  42.702, 2509.872, 5.700000
COVERED-STANDARDS-20241120, COVERED-STANDARDS-20241120, 24-11-20 21:50:343 UTC,    0.09,  39.113, Y-Z plane,  42.675, 2507.974, 5.700000
COVERED-STANDARDS-20241120, COVERED-STANDARDS-20241120, 24-11-20 21:50:343 UTC,    0.10,  39.140, Y-Z plane,  42.648, 2506.062, 5.700000
COVERED-STANDARDS-20241120, COVERED-STANDARDS-20241120, 24-11-20 21:50:343 UTC,    0.11,  39.167, Y-Z plane,  42.621, 2504.214, 5.700000
COVERED-STANDARDS-20241120, COVERED-STANDARDS-20241120, 24-11-20 21:50:343 UTC,    0.12,  39.195, Y-Z plane,  42.594, 2502.274, 5.700000
COVERED-STANDARDS-20241120, COVERED-STANDARDS-20241120, 24-11-20 21:50:343 UTC,    0.13,  39.223, Y-Z plane,  42.566, 2500.320, 5.700000
COVERED-STANDARDS-20241120, COVERED-STANDARDS-20241120, 24-11-20 21:50:343 UTC,    0.14,  39.250, Y-Z plane,  42.539, 2498.393, 5.700000
COVERED-STANDARDS-20241120, COVERED-STANDARDS-20241120, 24-11-20 21:50:343 UTC,    0.15,  39.279, Y-Z plane,  42.511, 2496.410, 5.700000
COVERED-STANDARDS-20241120, COVERED-STANDARDS-20241120, 24-11-20 21:50:343 UTC,    0.16,  39.307, Y-Z plane,  42.482, 2494.414, 5.700000
COVERED-STANDARDS-20241120, COVERED-STANDARDS-20241120, 24-11-20 21:50:343 UTC,    0.17,  39.335, Y-Z plane,  42.454, 2492.403, 5.700000
COVERED-STANDARDS-20241120, COVERED-STANDARDS-20241120, 24-11-20 21:50:343 UTC,    0.18,  39.364, Y-Z plane,  42.426, 2490.412, 5.700000
COVERED-STANDARDS-20241120, COVERED-STANDARDS-20241120, 24-11-20 21:50:343 UTC,    0.19,  39.393, Y-Z plane,  42.397, 2488.374, 5.700000
COVERED-STANDARDS-20241120, COVERED-STANDARDS-20241120, 24-11-20 21:50:343 UTC,    0.20,  39.422, Y-Z plane,  42.368, 2486.322, 5.700000
COVERED-STANDARDS-20241120, COVERED-STANDARDS-20241120, 24-11-20 21:50:343 UTC,    0.21,  39.451, Y-Z plane,  42.338, 2484.224, 5.700000
COVERED-STANDARDS-20241120, COVERED-STANDARDS-20241120, 24-11-20 21:50:343 UTC,    0.22,  39.481, Y-Z plane,  42.309, 2482.144, 5.700000
COVERED-STANDARDS-20241120, COVERED-STANDARDS-20241120, 24-11-20 21:50:343 UTC,    0.23,  39.510, Y-Z plane,  42.279, 2480.052, 5.700000
COVERED-STANDARDS-20241120, COVERED-STANDARDS-20241120, 24-11-20 21:50:343 UTC,    0.24,  39.540, Y-Z plane,  42.249, 2477.945, 5.700000
COVERED-STANDARDS-20241120, COVERED-STANDARDS-20241120, 24-11-20 21:50:343 UTC,    0.25,  39.570, Y-Z plane,  42.219, 2475.784, 5.700000
COVERED-STANDARDS-20241120, COVERED-STANDARDS-20241120, 24-11-20 21:50:343 UTC,    0.26,  39.600, Y-Z plane,  42.188, 2473.650, 5.700000
COVERED-STANDARDS-20241120, COVERED-STANDARDS-20241120, 24-11-20 21:50:343 UTC,    0.27,  39.631, Y-Z plane,  42.158, 2471.504, 5.700000
COVERED-STANDARDS-20241120, COVERED-STANDARDS-20241120, 24-11-20 21:50:343 UTC,    0.28,  39.661, Y-Z plane,  42.126, 2469.265, 5.700000
COVERED-STANDARDS-20241120, COVERED-STANDARDS-20241120, 24-11-20 21:50:343 UTC,    0.29,  39.692, Y-Z plane,  42.096, 2467.091, 5.700000
COVERED-STANDARDS-20241120, COVERED-STANDARDS-20241120, 24-11-20 21:50:343 UTC,    0.30,  39.723, Y-Z plane,  42.065, 2464.904, 5.700000
COVERED-STANDARDS-20241120, COVERED-STANDARDS-20241120, 24-11-20 21:50:343 UTC,    0.31,  39.754, Y-Z plane,  42.033, 2462.650, 5.700000
COVERED-STANDARDS-20241120, COVERED-STANDARDS-20241120, 24-11-20 21:50:343 UTC,    0.32,  39.785, Y-Z plane,  42.002, 2460.437, 5.700000
COVERED-STANDARDS-20241120, COVERED-STANDARDS-20241120, 24-11-20 21:50:343 UTC,    0.33,  39.817, Y-Z plane,  41.970, 2458.211, 5.700000
COVERED-STANDARDS-20241120, COVERED-STANDARDS-20241120, 24-11-20 21:50:343 UTC,    0.34,  39.848, Y-Z plane,  41.939, 2455.972, 5.700000
